,Q,A,unit
282,How does Word2Vec work?,The context words form the input layer and each word is encoded in one-hot form. There is a single hidden layer where activation function amounts to summing rows in W1 and dividing by C. The output layer uses W2 to compute a score for each word in the vocabulary.,2
283,What are the advantages of Word2Vec?,Word2Vec captures relationships between words such as similarity and analogy. It can answer analogy questions like "a is to b as c is to?". It produces exceedingly good word representations that can run over billions of words.,2
284,What is Bag of Words?,A simple representation of text data where each document is represented as a bag (or a set) of its word occurrences.,2
285,What is not considered in Bag of Words?,Order of words is not considered.,2
286,How is each word represented in Bag of Words?,Each word is represented as a feature and the frequency of each word is used as the feature value.,2
287,What is TF-IDF?,Term Frequency-Inverse Document Frequency: a technique to weigh the importance of each word in a document.,2
288,What does TF measure?,TF measures the frequency of a word in a document.,2
289,What does IDF measure?,IDF measures the rarity of a word across all documents.,2
290,How is TF-IDF calculated?,TF-IDF is the product of TF and IDF.,2
291,What are stopwords?,Common words like "the" "and" "a" etc. that do not add much value to the meaning of a text.,2
292,Why remove stopwords?,Removing stopwords can help reduce the dimensionality of the feature space.,2
293,What are N-Grams?,A sequence of n consecutive words or characters.,2
294,How are N-Grams used?,N-Grams can be used to capture context and relationships between words.,2
295,What types of N-Grams can be used as features?,Unigrams bigrams trigrams etc. can be used as features.,2
296,What is demonstrated in the experiment section?,A demo of using N-Grams to represent text data.,2
297,What are some uses of N-Grams?,N-Grams can be used for various NLP tasks such as language modeling predicting next word resolving ambiguity machine translation etc.,2
298,What are some standard techniques for text representation?,Standard techniques include removing stopwords weighing words differently and using histograms (Bag of Words).,2
299,What are deeper techniques from NLP?,Deeper techniques include using N-gram representations identifying named entities and learning representations.,2
300,What is Web Scraping?,Web scraping is a technique for gathering data or information from any public website.,2
301,What can be extracted using Web Scraping?,Web scraping can extract any data that can be seen while browsing the web.,2
302,How is extracted data stored?,The extracted data can be saved to a local file or to a database in table format using Pandas library.,2
303,What is the first step in the Web Scraping workflow?,Send a request to the website and load the webpage using Requests and urllib.,2
304,How do you parse the content of a webpage?,Parse the content of the webpage for desired data using Beautiful Soup.,2
305,How is data stored after extraction?,Store the extracted data in a required format using Regular Expressions.,2
306,How to perform an HTTP request in Python?,Import the requests module in Python.,2
307,What method is used to send a request to a URL?,Send a GET request to the specified URL using requests.get().,2
308,How do you get the content of a downloaded HTML page?,Get the content of the downloaded HTML page using html_page.content.,2
309,Why can't HTML data be extracted simply through string processing?,HTML is nested and data cannot be extracted simply through string processing.,2
310,What tool is used to parse HTML data?,Use Beautiful Soup to parse the HTML data and create a tree structure.,2
311,What kind of data can be extracted using Beautiful Soup?,Extract specific data like author name title tables and description using Beautiful Soup.,2
312,How to import Beautiful Soup in Python?,Import the BeautifulSoup module in Python.,2
313,How do you parse an HTML page with Beautiful Soup?,Parse the HTML page using BeautifulSoup and store it in a variable.,2
314,How to extract text from an HTML page using Beautiful Soup?,Extract the text from the HTML page without any HTML tags using bs_object.get_text().,2
315,What is Accuracy?,Accuracy is a good measure when the target variable classes in the data are nearly balanced.,2
316,Can you give an example of Accuracy?,A model that predicts whether a new image is an apple or an orange 97% of the time correctly is a very good measure.,2
317,What are True Positives (TP) True Negatives (TN) False Positives (FP) and False Negatives (FN)?,TP TN FP and FN are the four terms used to evaluate the performance of a binary classifier.,2
318,Can you give an example of TP TN FP and FN?,In a cancer detection example TP is when a person actually has cancer and the model predicts it correctly TN is when a person does not have cancer and the model predicts it correctly FP is when a person does not have cancer but the model predicts it incorrectly and FN is when a person has cancer but the model predicts it incorrectly.,2
319,What is Precision?,Precision is a measure that tells us what proportion of patients that we diagnosed as having cancer actually had cancer.,2
320,What is the formula for Precision?,Precision = TP / (TP + FP),2
321,Can you give an example of Precision?,In a cancer example with 100 people only 5 people have cancer and the model predicts every case as cancer the precision is 5%.,2
322,What is Recall?,Recall is a measure that tells us what proportion of patients that actually had cancer was diagnosed by the algorithm as having cancer.,2
323,What is the formula for Recall?,Recall = TP / (TP + FN),2
324,Can you give an example of Recall?,In a cancer example with 100 people 5 people actually have cancer and the model predicts every case as cancer the recall is 100%.,2
325,Why is the choice of metric important?,The choice of metric is very important in evaluating the performance of a machine learning model.,2
326,Can you give an example of the importance of choosing the right metric?,In a cancer detection example precision and recall are more important than accuracy.,2
327,What is the relationship between Precision and Recall?,Precision and recall are related but they are not the same thing.,2
328,Can you give an example of the relationship between Precision and Recall?,In a cancer example a model with high precision may have low recall and a model with high recall may have low precision.,2
329,What is the conclusion about Accuracy Precision and Recall?,Accuracy precision and recall are important metrics in evaluating the performance of a machine learning model and the choice of metric depends on the specific problem and dataset.,2
